company_name,parent_link,company_linkedin,cofounder_count,investment_manager_count,cofounders_name,cofounders_linkedin,investment_managers,cofounders_json,investment_managers_json,error
Mall Iq,https://212.vc/mall-iq/,https://www.linkedin.com/company/mall-iq-inc/,1,1,Batu Sat,https://www.linkedin.com/in/batusat,Numan Numan,"[{""name"": ""Batu Sat"", ""linkedin"": ""https://www.linkedin.com/in/batusat""}]","[""Numan Numan""]",
Marti,https://212.vc/marti/,https://www.linkedin.com/company/marti/,1,1,Alper Öktem,https://www.linkedin.com/in/oguz-alper-oktem-5178b5231,Ali Karabey,"[{""name"": ""Alper Öktem"", ""linkedin"": ""https://www.linkedin.com/in/oguz-alper-oktem-5178b5231""}]","[""Ali Karabey""]",
Meddy,https://212.vc/meddy/,https://www.linkedin.com/company/meddy/,1,1,Haris Aghadi,https://www.linkedin.com/in/harisaghadi,Maher Hakim,"[{""name"": ""Haris Aghadi"", ""linkedin"": ""https://www.linkedin.com/in/harisaghadi""}]","[""Maher Hakim""]",
Metrobi,https://212.vc/metrobi/,https://www.linkedin.com/company/metrobi/,1,1,Oguzhan Uyar,https://www.linkedin.com/in/oguzhanuyar,Ali Karabey,"[{""name"": ""Oguzhan Uyar"", ""linkedin"": ""https://www.linkedin.com/in/oguzhanuyar""}]","[""Ali Karabey""]",
Omma,https://212.vc/omma/,https://www.linkedin.com/company/ommaworks/,1,1,Tolga Sen,https://www.linkedin.com/in/tolgasen,Numan Numan,"[{""name"": ""Tolga Sen"", ""linkedin"": ""https://www.linkedin.com/in/tolgasen""}]","[""Numan Numan""]",
Parcadeposu,https://212.vc/parcadeposu/,https://www.linkedin.com/company/parcadeposu/,0,0,,,,[],[],
Philosopherking,https://212.vc/philosopherking/,https://www.linkedin.com/company/philosopherking/,1,1,Sadok Kohen,https://www.linkedin.com/in/sadokkohen,Ozge Sevim,"[{""name"": ""Sadok Kohen"", ""linkedin"": ""https://www.linkedin.com/in/sadokkohen""}]","[""Ozge Sevim""]",
Phitech,https://212.vc/phitech/,https://www.linkedin.com/company/phitech-bioinformatics/,1,1,Saliha Durmuş,https://www.linkedin.com/in/saliha-durmu%C5%9F-10a11732,Selma Bahçıvanoğlu,"[{""name"": ""Saliha Durmuş"", ""linkedin"": ""https://www.linkedin.com/in/saliha-durmu%C5%9F-10a11732""}]","[""Selma Bahçıvanoğlu""]",
Qrambo,https://212.vc/qrambo/,https://www.linkedin.com/company/qrambo/,1,1,Baransel Soysal,https://www.linkedin.com/in/baransel-soysal,Kıvanç Aydın,"[{""name"": ""Baransel Soysal"", ""linkedin"": ""https://www.linkedin.com/in/baransel-soysal""}]","[""Kıvanç Aydın""]",
Remotepass,https://212.vc/remotepass/,https://www.linkedin.com/company/remotepass/,1,1,Kamal Reggad,https://www.linkedin.com/in/kamalreggad,Ali Karabey,"[{""name"": ""Kamal Reggad"", ""linkedin"": ""https://www.linkedin.com/in/kamalreggad""}]","[""Ali Karabey""]",
Reprai,https://212.vc/reprai/,https://www.linkedin.com/company/reprai/,1,1,Didem Aral,https://www.linkedin.com/in/didem-aral-aaa24122,Selma Bahcivanoglu,"[{""name"": ""Didem Aral"", ""linkedin"": ""https://www.linkedin.com/in/didem-aral-aaa24122""}]","[""Selma Bahcivanoglu""]",
Robolaunch,https://212.vc/robolaunch/,https://www.linkedin.com/company/robolaunch/,1,0,Mükremin Çetinkaya,https://www.linkedin.com/in/mükremin-çetinkaya-36621194,,"[{""name"": ""Mükremin Çetinkaya"", ""linkedin"": ""https://www.linkedin.com/in/mükremin-çetinkaya-36621194""}]",[],
Socradar,https://212.vc/socradar/,https://www.linkedin.com/company/socradar/,1,1,Huzeyfe Onal,https://www.linkedin.com/in/huzeyfe,Numan Numan,"[{""name"": ""Huzeyfe Onal"", ""linkedin"": ""https://www.linkedin.com/in/huzeyfe""}]","[""Numan Numan""]",
Smartmessage,https://212.vc/smartmessage/,https://www.linkedin.com/company/smartmessage/,1,1,Oguz Kucukbarak,https://www.linkedin.com/in/oguz-kucukbarak,Ali Karabey,"[{""name"": ""Oguz Kucukbarak"", ""linkedin"": ""https://www.linkedin.com/in/oguz-kucukbarak""}]","[""Ali Karabey""]",
Solvoyo,https://212.vc/solvoyo/,https://www.linkedin.com/company/solvoyo/,1,1,Koray Doğan,https://www.linkedin.com/in/kodogan,Ali Karabey,"[{""name"": ""Koray Doğan"", ""linkedin"": ""https://www.linkedin.com/in/kodogan""}]","[""Ali Karabey""]",
Syntonym,https://212.vc/syntonym/,https://www.linkedin.com/company/syntonym/,1,1,Batuhan Ozcan – Founder CEO,https://www.linkedin.com/in/mbatuhanoezcan,Cagdas Yildiz,"[{""name"": ""Batuhan Ozcan – Founder CEO"", ""linkedin"": ""https://www.linkedin.com/in/mbatuhanoezcan""}]","[""Cagdas Yildiz""]",
Trio Mobil,https://212.vc/trio-mobil/,https://www.linkedin.com/company/trio-mobil/,1,1,Nevzat Atakli,https://www.linkedin.com/in/nevzat-atakl%C4%B1-b577bb23,Numan Numan,"[{""name"": ""Nevzat Atakli"", ""linkedin"": ""https://www.linkedin.com/in/nevzat-atakl%C4%B1-b577bb23""}]","[""Numan Numan""]",
Vizera,https://212.vc/vizera/,https://www.linkedin.com/company/vizera/,0,0,,,,[],[],
Voltfox,https://212.vc/voltfox/,https://www.linkedin.com/company/voltfoxio/,1,1,Selim Satıcı,https://www.linkedin.com/in/selim-satici,Cagdas Yildiz,"[{""name"": ""Selim Satıcı"", ""linkedin"": ""https://www.linkedin.com/in/selim-satici""}]","[""Cagdas Yildiz""]",
Wellbees,https://212.vc/wellbees/,https://www.linkedin.com/company/wellbeesapp/,1,1,Ceren Melis Abacioglu,https://www.linkedin.com/in/melisabacioglu,Maher Hakim,"[{""name"": ""Ceren Melis Abacioglu"", ""linkedin"": ""https://www.linkedin.com/in/melisabacioglu""}]","[""Maher Hakim""]",
Werover,https://212.vc/werover/,https://www.linkedin.com/company/werovercom/,1,1,Balca Yilmaz,https://www.linkedin.com/in/balca-yilmaz,Selma Bahcivanoglu,"[{""name"": ""Balca Yilmaz"", ""linkedin"": ""https://www.linkedin.com/in/balca-yilmaz""}]","[""Selma Bahcivanoglu""]",
Iyzico,https://212.vc/iyzico/,https://www.linkedin.com/company/iyzico/,1,1,Hande Cilingir,https://www.linkedin.com/in/hande-cilingir,Ali Karabey,"[{""name"": ""Hande Cilingir"", ""linkedin"": ""https://www.linkedin.com/in/hande-cilingir""}]","[""Ali Karabey""]",
One Five,https://212.vc/one-five/,https://www.linkedin.com/company/one-five-com/,1,1,Martin Weber,https://www.linkedin.com/in/martiniweber,Caglar Urcan,"[{""name"": ""Martin Weber"", ""linkedin"": ""https://www.linkedin.com/in/martiniweber""}]","[""Caglar Urcan""]",
